PI,AA,AB,AG,LA,LB,LC,NR,GY,IP,AL,AR,SU,BA,AC,AH,TRI,TRII,DG,KD,CC,CP,CA,PP,PA,AA,NC,NA,HB
1Q2W,90,102.86,90,52.244,98.287,67.822,308,-0.049,6.49,36.04,9.42,7.14,10.06,19.16,13.96,44.81,55.19,-13.9,6.00E-11,9,8,21,5,29,34,21.67,40.48,554
1Q31,90,108.95,90,146.587,41.544,96.063,242,-0.446,8.83,27.69,10.74,4.13,13.22,20.66,17.77,40.91,59.09,-8.1,1.10E-06,2,4,4,3,10,8,24.84,35.53,384
1Q83,90,90,90,79.743,111.954,226.577,580,-0.072,5.81,40.52,10.86,2.59,10,16.55,10.86,45.86,54.14,-9,2.30E-07,5,6,11,2,16,27,26.89,42.79,931
1Q8R,90,101.42,90,45.352,50.052,49.597,120,-0.585,10,34.17,7.5,5.83,18.33,20.83,8.33,49.17,50.83,-7.6,2.60E-06,14,6,19,1,3,15,33.89,39.44,202
1Q9D,90,90,90,58.86,166.25,80.27,337,-0.052,7.36,41.25,7.42,4.45,12.76,18.1,11.57,44.51,55.49,-20,2.10E-15,14,14,63,8,45,92,32.78,41.09,614
1QCO,90,102.52,90,64.64,110.94,67.81,423,-0.208,7.41,35.7,8.98,5.2,11.58,17.49,13.48,41.84,58.16,-22.1,5.90E-17,15,26,54,8,53,102,23.34,42.13,753
1QH3,90,90,90,39.08,72.37,162.06,260,-0.377,7.36,35.77,7.31,4.62,16.92,17.69,11.92,43.46,56.54,-4.8,3.00E-04,4,6,2,1,2,0,35.67,37.72,512
1QL0,90,90,90,106.39,73.67,68.12,241,-0.402,7.96,36.1,8.3,2.49,12.45,19.92,14.52,36.93,63.07,-9.3,1.40E-07,7,11,25,3,8,23,28.76,37.58,447
1QLW,90,125.06,90,134.73,55.6,110.2,328,-0.202,8.32,37.8,8.54,4.27,11.89,15.85,12.5,40.55,59.45,-24.6,9.30E-19,21,28,53,17,76,86,24.43,49.12,598
1QQJ,90,95.68,90,64,109.02,65.24,419,-0.204,7.41,35.56,9.07,5.25,11.69,17.66,13.13,42.24,57.76,-22.9,1.70E-17,17,26,52,8,56,101,24.14,41.19,751
1QZQ,90,90,90,50.024,105.131,194.153,483,-0.436,8.4,31.47,12.22,3.31,15.32,16.77,14.08,40.99,59.01,-7.9,1.60E-06,1,5,9,4,12,5,27.35,38.5,806
1R0S,90,100.7,90,70.293,58.349,72.368,258,-0.312,8.53,32.17,12.79,5.43,15.5,18.6,10.08,44.57,55.43,-12.8,4.40E-10,20,14,31,2,16,28,32.97,36.76,457
1R11,90,106.13,90,52.412,74.169,84.855,305,-0.438,5.68,35.41,11.8,2.3,18.03,22.62,7.87,56.72,43.28,-20,2.00E-15,63,42,75,7,22,36,50.12,32.53,537
1R1D,90,90,90,67.922,81.683,130.582,247,-0.365,4.95,34.82,10.93,4.86,13.77,22.27,8.1,51.42,48.58,-7.1,6.10E-06,4,9,10,3,10,6,36.26,36.84,437
1R43,90,95.63,90,60.43,77.63,110.57,463,-0.295,5.93,37.15,8.64,3.67,13.17,19.87,13.39,42.12,57.88,-20.5,9.90E-16,9,13,34,12,61,84,27.24,39.93,762
1R4F,90,102.291,90,51.996,74.865,81.369,339,-0.094,4.79,36.87,8.26,7.08,11.21,21.53,9.73,44.84,55.16,-9.7,7.70E-08,0,12,13,3,20,30,31.96,37.89,557
1R61,90,90,90,118.434,118.434,123.542,207,-0.171,5.31,39.13,8.7,2.9,14.98,19.81,8.7,42.03,57.97,-13.6,1.10E-10,25,18,51,2,12,60,37.08,37.83,352
1RCM,90,90,90,77.7,81.3,38,129,-0.472,9.21,34.11,9.3,7.75,13.95,20.16,13.18,42.64,57.36,-8.6,4.60E-07,0,16,4,9,17,3,27.62,32.04,263
1RQL,90,104.92,90,209.97,45.27,64.63,267,-0.188,4.51,36.33,8.24,7.12,12.73,22.1,8.99,54.68,45.32,-4.8,2.90E-04,0,0,6,0,6,39,38.26,41.74,504
1RYA,90,90,90,50.069,81.363,98.974,160,-0.297,4.83,35,13.75,1.88,12.5,21.25,11.88,47.5,52.5,-12,1.50E-09,9,29,19,8,31,36,31.9,41.38,267
1S95,90,94.25,90,40.808,80.309,92.189,333,-0.357,5.58,32.73,10.51,5.41,12.91,22.82,10.81,47.15,52.85,-9.2,1.80E-07,3,4,21,1,8,36,29.9,35.41,663
1S9R,90,107.96,90,76.83,76.36,82.85,410,-0.193,5.05,37.32,9.02,3.17,13.66,22.2,10,48.29,51.71,-9.2,1.90E-07,11,20,28,4,10,15,37.88,36.86,811
1SHJ,90,90,120,91.097,91.097,184.465,262,-0.469,6.97,30.92,9.92,5.73,17.18,21.76,10.69,43.13,56.87,-11.8,2.20E-09,10,13,20,8,24,34,36.2,31.9,354
1SHL,90,90,120,90.22,90.22,186.621,245,-0.407,7.14,31.43,10.61,6.12,17.55,21.22,10.2,44.49,55.51,-10.1,3.60E-08,6,12,10,8,23,23,35.21,32.96,347
1SHQ,90,90,90,171.007,171.007,84.098,478,-0.474,4.4,35.15,9.41,2.93,12.76,23.43,13.6,41.42,58.58,-32.7,1.00E-24,44,52,112,31,82,92,39.86,30.07,1069
1SIV,90,90,90,46.3,101.5,118.8,99,0.08,9.05,45.45,6.06,2.02,12.12,16.16,12.12,45.45,54.55,-13.5,1.20E-10,7,4,14,13,46,79,25.33,47.33,153
1SMA,90,90,120,118.37,118.37,266.7,588,-0.41,5.86,32.99,14.12,3.57,14.97,20.58,7.82,45.07,54.93,-20.1,1.90E-15,57,22,76,2,14,24,34.11,37.21,916
1SMX,90,90,90,70.378,70.378,87.917,96,-0.506,8.91,39.58,8.33,1.04,17.71,20.83,8.33,44.79,55.21,-6,4.20E-05,0,10,17,1,5,17,35.04,41.61,131
1SND,90,90,90,132.323,132.323,54.782,143,-0.83,10.04,33.57,6.99,2.8,21.68,20.98,10.49,40.56,59.44,-17.8,9.50E-14,23,25,61,5,28,42,40.2,33.67,237
1SU2,90,90,90,53.232,53.232,122.362,159,-0.201,4.76,43.4,8.18,1.89,13.21,20.75,5.03,49.69,50.31,-13.9,6.70E-11,30,10,48,0,18,42,32.23,50,267
1T5B,90,111.45,90,40.891,107.915,51.168,201,0.148,5.02,46.77,7.96,1.49,10.95,17.91,9.45,43.78,56.22,-8.8,3.80E-07,1,10,11,4,26,31,27.92,51.59,377
1TE2,90,97.26,90,48.591,88.447,48.591,226,0.079,4.72,43.36,4.42,4.87,11.5,18.58,10.62,50.44,49.56,-4.9,2.70E-04,1,2,20,1,0,25,31.58,46.13,383
1TIJ,90,90,90,91.49,91.49,144.45,120,-0.51,8.64,31.67,8.33,5.83,15,20,12.5,43.33,56.67,-21.7,1.20E-16,22,32,79,4,34,110,26.56,40.1,166
1TIY,90,90,90,99.287,99.287,72.927,164,-0.259,6.16,36.59,10.37,4.88,14.63,19.51,9.15,40.85,59.15,-6.6,1.40E-05,10,3,8,0,3,1,24.44,44.74,247
1TJC,90,90,120,55.98,55.98,105.43,108,-0.645,5.17,32.41,11.11,2.78,17.59,25.93,9.26,49.07,50.93,-6.3,2.40E-05,3,4,7,0,4,14,35.53,35.53,192
1TRM,90,90,90,40.4,92,127.3,223,-0.055,4.91,40.36,7.17,6.28,7.62,21.97,11.21,45.29,54.71,-7,6.80E-06,1,5,2,0,5,1,18.12,41.88,341
1TU6,90,90,90,62.179,66.776,107.708,215,-0.545,8.84,35.81,10.23,5.58,13.02,21.86,9.77,41.86,58.14,-8.8,3.80E-07,0,8,5,10,20,10,27.63,34.54,381
1TVP,90,90,90,135.5,78.9,44,293,-0.294,4.45,38.57,11.26,1.02,8.53,23.21,15.02,36.52,63.48,-10.7,1.30E-08,9,12,9,2,15,11,26.52,33.7,618
1TZP,90,94.08,90,45.949,115.143,49.154,255,-0.385,8.16,34.12,6.67,4.71,14.12,18.82,12.16,44.71,55.29,-7.6,2.60E-06,6,10,12,6,9,10,25.87,39.53,385
1U6Z,90,90,90,89.144,89.144,350.686,513,-0.239,7.14,38.6,7.21,4.09,14.81,21.25,9.75,52.24,47.76,-7.2,5.00E-06,7,18,13,16,17,23,31.47,37.79,1020
1U73,90,102.3,90,33.193,63.136,47.407,122,-0.566,5.13,26.23,13.11,13.11,12.3,21.31,10.66,45.9,54.1,-8.4,6.40E-07,9,3,16,0,1,2,28.14,33.67,212
1UAQ,90,105.33,90,47.113,53.681,68.076,158,-0.447,5.73,36.08,7.59,8.23,14.56,21.52,9.49,48.1,51.9,-13.5,1.20E-10,21,6,54,0,10,40,42.16,33.51,329
1UDU,90,117.28,90,131.352,48.561,123.863,324,-0.24,7.11,34.26,8.33,5.56,15.12,24.07,9.88,50.93,49.07,-8.2,1.00E-06,14,7,9,0,6,13,31.05,37.9,550
1UR9,90,90,90,55.524,104.177,185.992,499,-0.324,6.72,36.67,13.23,3.01,10.02,19.84,12.02,42.89,57.11,-11.1,7.80E-09,11,15,15,11,22,21,23.52,37.57,969
1UWK,90,98.75,90,111.429,71.618,129.158,557,-0.254,5.36,41.65,7.54,4.13,12.21,20.29,9.69,44.88,55.12,-25.4,2.40E-19,19,22,60,8,69,124,35.08,40.68,1196
1UWW,90,90,90,63.866,65.926,103.633,191,-0.388,3.99,35.08,12.57,1.57,8.38,27.23,9.95,44.5,55.5,-10.3,2.90E-08,8,8,4,14,32,4,30.04,38.52,324
1V13,90,90,90,52.693,61.441,91.107,134,-1.204,10.23,27.61,6.72,1.49,23.13,22.39,11.19,32.84,67.16,-7.9,1.70E-06,10,6,25,0,2,20,42.93,32.32,220
1V3C,90,90,120,218.625,218.625,109.871,431,-0.213,8.19,33.64,8.58,4.64,11.6,17.87,17.4,44.78,55.22,-17.7,1.10E-13,2,7,11,8,50,71,24.19,32.13,746
1V3Z,90,90,120,86.065,86.065,75.355,91,-0.391,10.65,45.05,7.69,2.2,18.68,18.68,3.3,57.14,42.86,-8,1.40E-06,8,5,23,0,8,14,38.64,40.15,169
1V6C,90,97.48,90,122.942,138.476,64.772,441,-0.167,4.55,41.27,6.35,3.17,5.9,20.18,19.27,34.47,65.53,-5.4,1.10E-04,2,6,4,26,14,3,15,38.21,788
1V7O,90,90,90,34.191,88.741,110.122,165,-0.534,7.39,34.55,7.27,2.42,22.42,21.21,7.88,50.91,49.09,-6.3,2.30E-05,9,8,12,0,4,11,44.54,34.45,252
1VHX,90,90,90,48.159,55.353,91.158,150,-0.189,6.81,41.33,5.33,4.67,15.33,18.67,12.67,46.67,53.33,-6.4,2.00E-05,7,8,13,0,2,13,31.7,40.62,217
1VHZ,90,90,90,191.773,191.773,191.773,198,-0.346,5.14,35.35,8.08,3.54,14.65,21.72,11.11,50.51,49.49,-18.9,1.30E-14,17,24,63,9,38,78,34.18,37.82,316
1VIX,90,90,90,115.27,145.787,77.121,420,-0.26,5.87,40,6.43,4.52,14.76,21.19,8.57,45.48,54.52,-12.1,1.40E-09,12,16,37,2,18,37,34,41.23,717
1VKG,90,90,90,82.63,92.71,98.76,377,-0.138,5.37,38.2,10.08,5.31,11.94,18.83,10.61,46.42,53.58,-8.4,6.80E-07,7,2,12,0,8,15,28.07,39.25,587
1VKH,90,97.71,90,41.967,85.959,70.479,273,-0.277,6.12,32.6,9.52,5.13,13.19,23.08,12.82,49.45,50.55,-10.5,1.90E-08,1,7,14,5,20,19,30.75,33.33,534
1VKP,90,97.1,90,58.02,115.813,66.634,383,-0.459,4.99,34.99,8.36,3.92,12.79,23.5,10.7,48.3,51.7,-9,2.70E-07,15,6,22,0,2,14,31.38,36.03,666
1W2Y,90,90,90,66.963,70.629,92.85,229,-0.439,4.68,32.75,12.66,3.93,13.1,28.38,8.73,51.97,48.03,-16.4,9.30E-13,22,27,55,3,18,31,33.97,31.73,461
1W5W,90,90,90,58.333,85.928,46.769,110,0.14,8.77,45.45,6.36,3.64,10.91,18.18,10,50,50,-13.4,1.40E-10,5,5,12,11,45,75,24.66,47.26,161
1WKQ,90,90,90,81.566,91.267,80.481,164,-0.238,6.33,36.59,10.37,5.49,14.63,18.9,9.15,40.24,59.76,-21.8,1.10E-16,14,21,56,0,44,175,30.35,36.82,304
1WN1,90,90,90,57.966,89.002,147.159,356,-0.203,5.26,42.98,7.87,2.53,16.29,19.94,7.02,52.25,47.75,-9.1,2.20E-07,26,5,29,0,4,25,42.71,38.69,704
1WNF,90,90,90,125.23,77.14,98.46,328,0.089,7.71,43.6,7.62,3.66,13.11,16.16,11.89,49.7,50.3,-25.6,1.60E-19,32,14,78,4,54,92,38.67,38.93,546
1WNO,90,90,90,95.678,100.461,134.295,395,-0.408,4.81,36.46,11.9,2.03,9.11,22.28,13.42,39.75,60.25,-8.7,4.00E-07,5,15,4,7,14,9,24.25,35.07,802
1WOF,90,103.574,90,51.683,95.345,67.53,311,-0.046,6.69,36.01,9.65,7.07,9.97,18.97,13.83,44.37,55.63,-17.7,1.00E-13,10,15,27,9,47,54,22.43,41.12,576
1WPM,90,90,90,59.675,117.293,144.989,309,-0.107,4.43,42.39,4.85,2.59,11.97,26.54,9.39,48.54,51.46,-10.4,2.20E-08,12,8,38,0,8,28,37.31,38.06,621
1WPN,90,99.99,90,48.14,60.97,74.06,188,-0.231,4.36,39.89,6.38,3.72,11.17,27.13,8.51,48.94,51.06,-8.9,2.90E-07,8,6,32,0,4,24,36.13,36.97,442
1WPO,90,90,90,71,71,209.3,256,-0.304,5.68,37.89,7.03,3.91,12.89,19.14,13.67,48.83,51.17,-12.2,1.10E-09,14,6,25,4,21,41,33.68,36.81,351
1WPP,90,90,90,96.08,148.96,43.72,311,0.067,4.23,44.05,7.07,2.25,9,23.15,11.25,44.69,55.31,-9.2,1.70E-07,8,10,33,0,6,27,29.88,42.89,644
1WR8,90,90,90,63.795,81.772,86.949,231,-0.108,7.8,43.29,7.79,2.6,15.15,19.05,8.66,47.19,52.81,-9.6,8.60E-08,10,6,27,3,11,38,38.03,35.41,480
1WRA,90,90,90,98.302,98.302,172.6,308,-0.644,5,31.49,10.06,0.97,14.61,25.32,14.94,40.91,59.09,-7.1,5.80E-06,6,5,3,2,2,0,33.65,27.21,601
1WTD,90,90,90,175.551,175.551,44.603,272,-0.371,6.38,36.4,9.93,3.31,16.54,24.63,6.99,47.43,52.57,-20.2,1.50E-15,24,25,55,7,41,71,35.93,34.67,468
1WY2,90,90,90,66.697,105.876,106.291,351,-0.28,5.29,39.89,7.12,3.13,15.95,21.37,9.12,50.43,49.57,-13.1,2.60E-10,16,2,45,1,16,31,42.68,34.39,707
1WZL,90,90,90,112.874,117.907,113.142,585,-0.418,5.77,35.04,13.16,2.56,14.7,21.37,8.89,48.38,51.62,-16.5,7.40E-13,52,22,58,0,6,21,34.7,35.86,1127
1WZM,90,90,90,110.663,115.9,112.594,585,-0.431,5.89,34.87,13.16,2.56,14.87,21.37,8.89,48.21,51.79,-16.4,9.50E-13,49,22,60,0,6,21,35.55,35.55,1008
1X24,90,90,90,146.891,146.891,146.891,180,-0.306,9.64,35.56,8.33,5.56,19.44,16.11,9.44,47.78,52.22,-7.2,5.70E-06,15,2,16,0,0,6,35.02,37.33,267
1X2I,90,90,90,39.942,56.889,68.371,75,-0.1,9.14,44,4,2.67,20,17.33,9.33,57.33,42.67,-10.2,3.30E-08,12,5,28,3,18,37,38.78,41.84,108
1XHK,90,90,90,89.846,89.846,100.609,187,0.299,5.03,49.2,4.28,1.6,11.76,18.72,10.16,45.45,54.55,-6.8,1.00E-05,4,4,18,1,7,29,32.54,44.05,298
1XJU,90,102.51,90,33.349,59.786,76.228,163,-0.685,8.85,32.52,6.75,7.36,19.02,21.47,9.2,44.79,55.21,-8.4,7.30E-07,6,10,10,0,8,15,27.64,38.21,276
1XR4,90,90,90,58.374,116.701,189.694,509,-0.079,6.33,43.03,5.11,3.93,11.98,20.43,11.98,46.76,53.24,-23.4,6.90E-18,37,29,70,7,45,83,27.56,43.26,868
1XSR,90,102,90,42.872,79.976,58.446,168,-0.295,5.64,36.31,8.33,2.38,14.88,25,8.33,49.4,50.6,-14,5.40E-11,11,15,32,1,26,40,29.18,42.06,218
1XV8,90,102.8,90,150.812,72.27,91.106,496,-0.497,6.78,32.86,12.9,4.23,12.7,21.77,11.09,41.33,58.67,-12.7,4.60E-10,6,11,19,3,22,14,28.03,33.28,934
1XVI,90,99.56,90,54.783,79.975,75.471,275,-0.269,4.8,38.91,8.73,2.18,11.64,22.18,12.36,47.64,52.36,-5.7,6.40E-05,6,7,3,1,2,0,23.77,43.17,410
1XXS,90,90,90,61.18,88.71,51.09,122,-0.746,8.74,27.05,9.84,12.3,20.49,18.03,8.2,45.08,54.92,-7.7,2.30E-06,8,4,8,0,4,5,34.17,32.16,227
1XZW,90,90,120,116.15,116.15,291.95,426,-0.565,6.16,29.81,16.2,1.88,12.21,19.48,14.32,42.02,57.98,-16,1.80E-12,3,2,26,1,32,74,26.87,33.01,797
1Y6P,90,105.65,90,34.988,88.383,38.56,131,-0.589,6.21,23.66,10.69,12.21,13.74,22.9,12.98,40.46,59.54,-8.3,8.20E-07,5,11,10,12,10,8,26.44,28.85,242
1Y7A,90,90,90,76.208,164.564,192.636,449,-0.356,5.61,41.65,5.12,2.67,11.36,20.71,13.81,36.53,63.47,-23.7,4.50E-18,28,48,65,33,72,111,30.82,37.76,934
1Y7V,90,90,90,104.49,285.61,91.51,497,-0.166,7.49,35.81,11.47,3.22,12.47,16.7,13.48,42.45,57.55,-7.2,5.70E-06,1,4,8,1,7,8,24.01,41.56,948
1Y97,90,90,90,52.5,77.2,101.7,238,-0.108,5.98,41.18,7.14,3.78,14.29,15.97,10.92,45.8,54.2,-13.3,1.60E-10,25,17,45,3,18,25,28.66,48.21,375
1YDY,90,90,90,63.789,74.469,157.219,356,-0.535,5.29,33.15,10.67,4.49,14.33,24.16,8.71,43.82,56.18,-13.2,1.90E-10,11,11,18,0,23,48,39.06,28.71,647
1YH8,90,90,120,101.61,101.61,124.18,270,-0.339,6.88,38.89,10,0,17.78,21.48,8.89,48.52,51.48,-5.8,5.50E-05,6,1,16,0,0,7,38.17,37.63,499
1YPP,90,90,90,116,106.2,56.1,286,-0.506,5.09,33.92,9.79,1.05,13.99,23.08,11.19,38.46,61.54,-7.4,3.40E-06,11,4,18,0,2,29,35.57,36.82,460
1YPT,90,90,120,71.53,71.53,107.48,305,-0.464,8.94,35.74,4.26,5.25,13.44,21.31,15.74,47.87,52.13,-9.1,2.20E-07,4,8,13,1,9,8,29.46,33.85,594
1YQC,90,103.894,90,43.047,74.466,56.364,170,-0.338,6.09,35.88,8.24,2.35,15.88,24.12,8.82,47.65,52.35,-17.8,8.10E-14,13,17,37,2,40,46,29.29,41,246
1YRA,90,95.07,90,59.19,84.95,60.2,262,-0.252,4.89,33.97,11.07,6.11,14.12,20.23,9.92,52.29,47.71,-13.6,9.80E-11,12,12,34,8,28,74,38.78,33.53,491
1YSB,90,105.3,90,39.52,54.63,68.12,161,-0.441,5.73,36.02,7.45,8.07,14.29,21.12,10.56,47.83,52.17,-13.1,2.30E-10,21,7,53,0,9,40,38.5,36.5,343
1YSJ,90,106.713,90,233.854,42.157,75.449,404,-0.2,5.91,40.59,7.18,2.72,13.12,21.29,10.64,45.05,54.95,-10.8,1.30E-08,0,11,17,13,35,27,29.58,43.86,627
1YW4,90,94.74,90,62.95,39.435,131.585,341,-0.22,6.56,40.76,8.21,2.93,14.66,19.06,8.8,43.4,56.6,-4.6,4.20E-04,8,1,4,2,2,0,27.02,47.28,503
1YW6,90,90,90,146.804,146.804,209.449,335,-0.128,6.6,40,8.36,3.88,14.33,17.31,10.15,46.87,53.13,-8.4,7.00E-07,9,6,17,2,12,13,25,48.08,433
1Z1J,90,92.52,90,125.65,80.22,63.91,306,-0.051,6.69,35.95,9.8,6.86,10.13,19.28,13.73,44.44,55.56,-16.5,7.30E-13,8,13,24,13,47,46,21.1,41.51,464
1Z3A,90,90,90,100.232,100.232,159.576,168,-0.195,7.7,40.48,5.95,7.14,17.26,17.86,8.33,51.19,48.81,-11.2,6.00E-09,9,9,35,2,13,41,31.75,38.86,285
1Z5O,90,90,90,51.66,70.22,128.07,242,0.276,4.79,48.76,5.79,4.13,9.92,19.42,9.09,44.21,55.79,-11.8,2.10E-09,13,0,36,1,16,46,27.08,46.18,436
1Z6D,90,90.59,90,100.032,32.692,72.474,124,-0.663,8.39,23.39,7.26,9.68,14.52,21.77,20.16,38.71,61.29,-8.3,8.70E-07,0,10,5,5,5,1,22.55,27.94,218
1ZCZ,99.26,96.89,106.13,62.084,58.63,72.749,464,-0.137,6.12,41.59,9.27,2.16,15.3,18.75,8.62,44.18,55.82,-28.5,1.30E-21,53,49,112,17,55,214,37.77,40.72,863
1ZGC,90,90,90,90.996,105.543,150.448,543,-0.298,5.75,33.15,11.97,4.24,11.6,20.81,12.34,44.2,55.8,-9.2,1.70E-07,5,2,9,4,14,25,29.31,34.35,984
1ZJJ,90,103.21,90,41.717,75.743,79.784,263,0.075,5.05,42.97,8.37,4.18,12.17,16.73,10.27,48.67,51.33,-11.5,3.60E-09,4,2,26,3,26,51,34.56,42.49,478
1ZL5,90,90,90,88.95,144.573,83.429,420,-0.386,8.98,32.14,11.43,1.9,11.9,24.52,13.33,40.24,59.76,-11.7,2.60E-09,9,18,11,4,19,32,25.45,33.15,731
1ZL6,90,90,90,88.8,144.958,83.185,420,-0.379,8.82,32.38,11.19,1.9,11.9,24.52,13.33,40,60,-11.4,4.40E-09,9,21,11,4,18,31,25.35,33.69,716
1ZLF,90,90,120,62.777,62.777,83.407,99,0.181,8.77,46.46,5.05,4.04,11.11,17.17,10.1,52.53,47.47,-13.5,1.20E-10,5,4,12,11,46,77,24.16,48.32,146
1ZM1,90,109.56,90,70.148,43.97,81.015,241,-0.616,4.65,33.2,12.86,1.66,11.2,23.65,14.52,39.83,60.17,-5.5,8.80E-05,3,12,6,8,6,4,29.75,37.39,405
1ZPS,90,90,90,39.783,54.358,117.362,138,-0.412,5.02,39.13,7.25,4.35,15.94,23.19,9.42,50,50,-12.3,1.00E-09,9,5,36,2,15,68,37.97,31.55,220
1ZRS,90,104.33,90,52.185,78.271,71.258,317,-0.115,6.8,45.11,6.62,2.84,14.83,15.46,9.46,48.9,51.1,-12.8,3.80E-10,15,8,38,5,20,36,24.31,45.61,544
1ZUP,90,90,90,82.433,82.433,234.492,315,-0.477,5.89,35.24,8.25,2.54,18.1,23.17,8.57,51.43,48.57,-15.2,6.60E-12,41,36,53,9,20,34,40.9,37.53,468
1ZXZ,90,90,90,51.2,73.8,109.4,197,-0.29,6.35,39.59,5.58,4.57,17.77,21.32,5.58,52.28,47.72,-8.5,5.60E-07,11,10,24,6,15,27,35.89,43.55,301
2A5K,90,90,90,65.353,67.478,167.322,307,-0.043,6.69,35.83,9.77,7.17,10.1,19.22,13.68,44.63,55.37,-15.5,4.20E-12,9,12,23,8,38,41,22.14,40.56,562
2A6A,90,90,90,93.272,217.112,51.953,218,-0.212,7.32,41.28,5.96,2.29,18.81,17.89,8.72,50,50,-10.4,2.50E-08,19,9,26,0,15,42,37.76,43.71,340
2A8L,90,90,90,60.195,85.75,104.564,420,-0.226,7.81,40.48,4.76,5.71,13.81,17.62,14.05,42.38,57.62,-13.2,1.90E-10,18,6,67,1,4,66,25.47,44.44,590
2A8P,90,90,90,50.239,82.045,112.009,212,-0.507,7.2,36.32,6.13,3.77,18.87,22.17,8.02,54.72,45.28,-11.4,4.20E-09,6,2,51,4,12,67,40.65,34.89,338
2A9U,90,90,90,34.682,64.82,151.895,144,-0.995,9.61,28.47,7.64,2.08,22.22,25,11.11,52.78,47.22,-13.5,1.30E-10,20,11,37,2,16,35,44.93,27.31,277
2AMP,90,90,90,66.589,90.239,110.345,304,-0.093,6.51,37.5,9.87,5.26,9.54,19.41,15.79,46.05,53.95,-15.2,7.40E-12,8,10,26,12,38,39,22.58,38.94,503
2AMX,90,90,90,66.719,90.332,137.086,376,-0.32,6.65,34.84,9.84,2.93,18.62,21.01,10.64,43.62,56.38,-6.9,9.10E-06,4,16,9,1,5,8,38.64,31.85,728
2ANV,90,103.8,90,134.013,50.415,46.587,146,-0.314,10.07,39.04,6.16,3.42,15.07,19.86,13.7,46.58,53.42,-10.6,1.80E-08,7,10,16,6,22,21,30.36,38.84,314
2AOG,90,90,90,58.02,85.893,46.614,99,0.181,10.21,49.49,5.05,2.02,12.12,16.16,9.09,48.48,51.52,-13,2.80E-10,7,3,12,11,45,81,25.33,50,177
2AS8,90,90,90,75.12,78.43,83.774,222,-0.388,5.92,36.94,11.26,4.95,10.36,23.87,9.01,51.35,48.65,-9.5,1.10E-07,6,6,17,2,5,7,21.97,34.39,366
2ATX,90,90,90,43.69,82.2,114.31,194,0.038,4.59,40.21,8.76,6.19,9.79,18.56,9.79,47.42,52.58,-8.8,3.60E-07,3,5,28,0,10,55,28.21,46.07,288
2AUN,90,104.19,90,52.43,78.012,71.257,317,-0.1,6.76,45.43,6.62,2.84,14.51,15.46,9.46,48.9,51.1,-12.8,4.00E-10,12,8,37,5,22,33,24.69,45.89,538
2B1I,90,91.5,90,56,106.5,101,593,-0.105,8.31,41.48,6.41,3.37,14,18.38,11.8,44.01,55.99,-33.6,2.20E-25,42,70,150,39,81,145,32.87,40.19,1242
2BB0,90,89.92,90,57.73,106.34,66.47,421,-0.107,5.29,43.23,6.18,3.33,12.35,19.95,11.4,45.84,54.16,-5.7,6.60E-05,7,6,6,0,2,0,30.89,41.19,786
2BDR,90,93.98,90,83.027,55.268,81.843,175,-0.321,6.39,34.86,7.43,4.57,16.57,21.14,9.71,44.57,55.43,-14.7,1.60E-11,8,30,29,4,33,55,31.17,38.96,246
2BDU,90,90,120,133.674,133.674,38.889,297,-0.215,5.44,37.04,8.42,4.38,14.48,24.24,9.09,50.17,49.83,-6.7,1.30E-05,5,14,4,1,8,1,34.32,37.53,494
2BIF,116.9,99.31,105.2,61.74,73.51,76.7,469,-0.39,6.36,33.05,9.38,5.12,14.71,23.03,9.81,52.67,47.33,-7.5,3.00E-06,15,12,8,6,11,16,34.21,38.67,848
2BJI,67.22,69.65,85.14,47.23,55.15,60.88,277,0.049,4.81,41.88,6.14,5.78,11.19,19.13,12.27,47.29,52.71,-11.2,6.00E-09,12,8,43,0,8,50,31.18,41.13,531
2BMI,90,90,90,47.256,94.92,111.42,232,-0.191,5.22,38.36,7.76,3.88,10.34,20.69,14.22,42.67,57.33,-8.5,6.20E-07,1,12,9,6,12,8,25.67,34.67,440
2BZ0,90,90,90,99.08,99.08,96.29,196,-0.181,5.83,42.35,6.63,4.08,14.29,22.96,6.63,49.49,50.51,-11.9,2.00E-09,15,0,42,2,14,81,31.62,43.48,307
2C1L,90,90,90,138.925,138.925,94.135,358,-0.372,6.8,34.92,10.34,2.51,11.17,21.51,16.76,43.3,56.7,-15.2,6.70E-12,19,28,26,13,31,73,25.53,32.49,415
2C40,90,90,120,78.154,78.154,203.626,312,-0.177,6.23,37.82,9.94,2.24,14.1,19.55,11.54,44.87,55.13,-7.9,1.50E-06,12,7,13,1,6,38,34.55,36.65,550
2C61,90,90,90,73.623,96.418,130.715,469,-0.223,6.46,41.36,6.82,2.99,13.86,19.4,10.02,46.27,53.73,-20.4,1.00E-15,19,13,75,3,35,45,32.06,41.35,830
2CAR,90,90.01,90,31.23,105,50.14,196,-0.174,5.35,38.78,9.69,4.59,11.73,20.41,8.16,47.96,52.04,-8.8,3.30E-07,2,6,15,1,18,39,30.93,45.02,389
2CB5,90,90,120,179.512,179.512,164.148,453,-0.392,6.28,31.13,10.82,5.96,14.79,22.96,9.93,47.68,52.32,-4.8,2.90E-04,4,5,5,2,1,0,32.72,39.2,914
